INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-09-01T20:00:00-00:00,2024-09-01T21:00:00-00:00,1,2024-09-01,14,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-01T14:00:00-00:00,2024-09-01T15:00:00-00:00,1,2024-09-01,8,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-02T02:00:00-00:00,2024-09-02T03:00:00-00:00,1,2024-09-01,20,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-01T15:00:00-00:00,2024-09-01T16:00:00-00:00,1,2024-09-01,9,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-02T00:00:00-00:00,2024-09-02T01:00:00-00:00,1,2024-09-01,18,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-01T23:00:00-00:00,2024-09-02T00:00:00-00:00,1,2024-09-01,17,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-01T12:00:00-00:00,2024-09-01T13:00:00-00:00,1,2024-09-01,6,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-01T11:00:00-00:00,2024-09-01T12:00:00-00:00,1,2024-09-01,5,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-01T10:00:00-00:00,2024-09-01T11:00:00-00:00,1,2024-09-01,4,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-02T04:00:00-00:00,2024-09-02T05:00:00-00:00,1,2024-09-01,22,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-01T08:00:00-00:00,2024-09-01T09:00:00-00:00,1,2024-09-01,2,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-02T01:00:00-00:00,2024-09-02T02:00:00-00:00,1,2024-09-01,19,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-01T19:00:00-00:00,2024-09-01T20:00:00-00:00,1,2024-09-01,13,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
2024-09-01T18:00:00-00:00,2024-09-01T19:00:00-00:00,1,2024-09-01,12,0,DAM,AVRN,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,0,DAM,2
